Departamento,Municipio,Zona,Puesto,Mesa,Estado_XREF
E14,PRE,01,010,000_00_00_013_2003_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,010,000_00_00_014_2003_Mesa_14,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_001_5101_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_002_5101_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_003_5101_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_004_5101_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_005_5101_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_006_5101_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_007_5101_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_008_5101_Mesa_8,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_009_5101_Mesa_9,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_010_5101_Mesa_10,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_011_5101_Mesa_11,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_012_5101_Mesa_12,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_01_013_5101_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_001_5101_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_002_5101_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_003_5101_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_004_5101_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_005_5101_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_006_5101_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_007_5101_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_008_5101_Mesa_8,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_009_5101_Mesa_9,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_010_5101_Mesa_10,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_011_5101_Mesa_11,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_012_5101_Mesa_12,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_013_5101_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,001_00_02_014_5101_Mesa_14,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_001_5102_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_002_5102_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_003_5102_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_004_5102_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_005_5102_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_006_5102_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_007_5102_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_008_5102_Mesa_8,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_009_5102_Mesa_9,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_010_5102_Mesa_10,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_011_5102_Mesa_11,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_012_5102_Mesa_12,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_013_5102_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_014_5102_Mesa_14,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_015_5102_Mesa_15,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_01_016_5102_Mesa_16,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_001_5102_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_002_5102_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_003_5102_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_004_5102_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_005_5102_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_006_5102_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_007_5102_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_008_5102_Mesa_8,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_009_5102_Mesa_9,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_010_5102_Mesa_10,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_011_5102_Mesa_11,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_012_5102_Mesa_12,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_013_5102_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,002_00_02_014_5102_Mesa_14,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,098_00_01_001_5101_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_01_001_5101_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_01_002_5101_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_03_001_5102_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_03_002_5102_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_03_003_5102_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_04_001_5102_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_04_002_5102_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_04_003_5102_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_04_004_5102_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_001_5101_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_002_5101_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_003_5101_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_004_5101_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_005_5101_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_006_5101_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,013,099_00_05_007_5101_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_001_2005_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_002_2005_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_003_2005_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_004_2005_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_005_2005_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_006_2005_Mesa_6,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_007_2005_Mesa_7,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_008_2005_Mesa_8,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_009_2005_Mesa_9,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_010_2005_Mesa_10,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_011_2005_Mesa_11,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_012_2005_Mesa_12,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_013_2005_Mesa_13,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_014_2005_Mesa_14,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_015_2005_Mesa_15,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_016_2005_Mesa_16,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_017_2005_Mesa_17,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_018_2005_Mesa_18,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_019_2005_Mesa_19,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_020_2005_Mesa_20,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_021_2005_Mesa_21,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_022_2005_Mesa_22,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_023_2005_Mesa_23,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_024_2005_Mesa_24,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_025_2005_Mesa_25,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_026_2005_Mesa_26,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_027_2005_Mesa_27,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_028_2005_Mesa_28,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_029_2005_Mesa_29,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_01_030_2005_Mesa_30,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_001_2005_Mesa_1,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_002_2005_Mesa_2,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_003_2005_Mesa_3,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_004_2005_Mesa_4,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_005_2005_Mesa_5,CORRUPTO_PLANTILLA_B
E14,PRE,01,016,000_00_02_006_2005_Mesa_6,CORRUPTO_PLANTILLA_B
