Nombre_Archivo,Ruta_Absoluta,XREF_Corrupta,Detalle_XREF,Tiene_Metadatos,Cant_Imagenes
E14_XXX_X_88_360_035_02_000_X_XXX (2).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (2).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (2).pdf: reported number of objects (20) is not one plus the highest object number (18) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (3).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (3).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (3).pdf: reported number of objects (21) is not one plus the highest object number (19) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (4).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (4).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (4).pdf: reported number of objects (22) is not one plus the highest object number (20) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (5).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (5).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (5).pdf: reported number of objects (22) is not one plus the highest object number (20) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (6).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (6).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (6).pdf: reported number of objects (23) is not one plus the highest object number (21) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (7).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (7).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (7).pdf: reported number of objects (21) is not one plus the highest object number (19) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (8).pdf: reported number of objects (20) is not one plus the highest object number (18) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX (9).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (9).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX (9).pdf: reported number of objects (22) is not one plus the highest object number (20) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_02_000_X_XXX.pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX.pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_02_000_X_XXX.pdf: reported number of objects (21) is not one plus the highest object number (19) qpdf: operation succeeded with warnings,False,0
E14_XXX_X_88_360_035_05_000_X_XXX (1).pdf,/media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_05_000_X_XXX (1).pdf,True,WARNING: /media/andrea-zabala-c/D A T A1/BOVEDA_FORENSE_MAESTRA/01_ENTREGABLES_OFICIALES/ENTREGABLES_FORENSES_E14_MAESTRO/ES_ESPANOL/Capitulo_06_Archivos_Crudos_y_Respaldos/Evidencia_USB_Rescate/V_4junio/E14_XXX_X_88_360_035_05_000_X_XXX (1).pdf: reported number of objects (20) is not one plus the highest object number (18) qpdf: operation succeeded with warnings,False,0
