archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_002_6948_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_002_6947_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/EL ENCANTO/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_010_000_00_00_003_3085_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_001_6947_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_027_6947_Mesa_27.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_009_6947_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_015_6947_Mesa_15.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA PEDRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_016_000_00_00_004_3085_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_005_6947_Mesa_5.pdf",CORRUPTO
