archivo_pdf,resultado_xref
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_021_6948_Mesa_21.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_018_6948_Mesa_18.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_023_6948_Mesa_23.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_010_6948_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/KILOMETRO 11/E14_PRE_60_001_099_00_77_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_019_6948_Mesa_19.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_020_6948_Mesa_20.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_003_6948_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_006_6948_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_022_6948_Mesa_22.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_005_6948_Mesa_5.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_001_6948_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_008_6948_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_007_6948_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_002_6948_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_009_6948_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SANTA SOFIA/E14_PRE_60_001_099_00_70_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 98/CARCEL/E14_PRE_60_001_098_00_01_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_024_6948_Mesa_24.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE SAGRADO CORAZON DE JESUS/E14_PRE_60_001_002_00_03_004_6948_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SAN MARTIN DE AMACAYACU/E14_PRE_60_001_099_00_71_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/ARARA/E14_PRE_60_001_099_00_74_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/NAZARETH/E14_PRE_60_001_099_00_73_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/ARARA/E14_PRE_60_001_099_00_74_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/IE SAN JUAN BOSCO/E14_PRE_60_001_099_00_76_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/NAZARETH/E14_PRE_60_001_099_00_73_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SANTA SOFIA/E14_PRE_60_001_099_00_70_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SAN JOSE KM 6/E14_PRE_60_001_099_00_75_003_6949_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/MACEDONIA/E14_PRE_60_001_099_00_72_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SANTA SOFIA/E14_PRE_60_001_099_00_70_003_6949_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO ALEGRIA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_030_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SAN JOSE KM 6/E14_PRE_60_001_099_00_75_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SAN JOSE KM 6/E14_PRE_60_001_099_00_75_001_6949_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/MACEDONIA/E14_PRE_60_001_099_00_72_002_6949_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO ARICA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_040_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 99/SANTA SOFIA/E14_PRE_60_001_099_00_70_004_6949_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 99/COMUNIDAD DOCE DE OCTUBRE/E14_PRE_60_007_099_00_21_002_3090_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/MIRITI PARANA/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_019_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_006_3090_Mesa_6.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/MIRITI PARANA/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_019_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_009_3090_Mesa_9.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_005_3090_Mesa_5.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_004_3090_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO ARICA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_040_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/MIRITI PARANA/ZONA 99/SANTA ISABEL/E14_PRE_60_019_099_00_70_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_010_3090_Mesa_10.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_001_3090_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_011_3090_Mesa_11.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_003_3090_Mesa_3.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_002_3090_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 99/ATACUARI/E14_PRE_60_007_099_00_20_002_3090_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 99/COMUNIDAD DOCE DE OCTUBRE/E14_PRE_60_007_099_00_21_001_3090_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 99/ATACUARI/E14_PRE_60_007_099_00_20_001_3090_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_007_3090_Mesa_7.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 99/COMUNIDAD DE NARANJALES/E14_PRE_60_007_099_00_22_001_3090_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/TARAPACA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_022_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_008_3090_Mesa_8.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/TARAPACA/ZONA 99/PUERTO EZEQUIEL/E14_PRE_60_022_099_00_01_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO NARIÑO/ZONA 00/PUESTO CABECERA MUNICIPAL/E14_PRE_60_007_000_00_00_012_3090_Mesa_12.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/TARAPACA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_022_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/TARAPACA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_022_000_00_00_004_3085_Mesa_4.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO SANTANDER/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_021_000_00_00_001_3085_Mesa_1.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/PUERTO SANTANDER/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_021_000_00_00_002_3085_Mesa_2.pdf",CORRUPTO
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/TARAPACA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_022_000_00_00_003_3085_Mesa_3.pdf",CORRUPTO
