codigo_depto,nombre,mesas,media_cepeda,var_cepeda,media_espriella,var_espriella,benford_dev_cepeda,benford_dev_espriella
56,Putumayo,156,78.91666666666667,388.51559139784945,64.25641025641026,773.6241521918942,11.402279202279203,6.326495726495728
52,Arauca,2543,88.75068816358632,1245.1132715561423,133.60361777428236,2812.4218909191486,7.8123913138462875,8.304274849200105
12,Depto 12,2754,102.29847494553377,1323.379096837912,96.45787944807553,1872.2439571434716,9.005384025507526,6.762624061970468
46,Depto 46,1020,67.1313725490196,1022.7148146010122,158.0421568627451,2872.4054830764494,6.731590413943355,9.007843137254902
26,Depto 26,1471,82.98300475866758,706.0684184482766,122.06798096532971,2726.566804015964,8.294179894179894,7.0196691593020635
54,Casanare,221,79.20361990950227,1257.3174413821473,93.56561085972851,2440.019539284245,7.690196078431374,7.543434343434342
13,Caquetá,4180,119.41363636363636,1821.4696871804913,83.53827751196172,1571.8489771711143,9.459649122807017,5.338472587981805
44,Sucre,983,104.05493387589013,1978.9867958968453,103.34486266531027,2570.8656736827493,7.683757205832486,7.060006795786611
03,Atlántico,6190,118.32035541195476,1686.0736363254312,81.59789983844911,2156.9555942313623,9.288745288099085,5.048931969125831
19,Córdoba,2746,83.41150764748726,1061.868486833639,136.5739257101238,2738.675953763514,5.858282754713929,8.348623258827342
29,Magdalena,3526,84.90896199659672,1339.3332700144417,120.58196256381169,2625.5823582465414,5.815130023640662,7.959653270291568
24,Depto 24,2551,93.14935319482557,1313.1984691893222,113.16346530772246,2780.9744450849726,7.37686310379372,6.382592738235679
07,Bolívar,3126,89.63499680102368,2214.39249003199,141.2530390275112,2730.6383507613564,4.977777777777777,8.662034368662612
28,Depto 28,2347,119.0080954409885,2446.9543248877326,80.26416702172986,1521.14416728326,8.51764427401411,5.099658703071672
64,Amazonas,809,163.1124845488257,2644.273222656011,41.9035846724351,646.6416826787747,8.985221810190907,3.877695064791839
60,San Andrés,176,101.41477272727273,1818.3469805194804,60.13636363636363,1345.707012987013,8.553535353535352,3.977777777777779
21,Cundinamarca,3228,107.56753407682776,1821.8934854574688,79.0266418835192,1518.8973377124319,8.104474734958004,4.3223702785524925
15,Cauca,6916,111.1015037593985,2812.7610620912365,129.6766917293233,3224.857134158607,6.160606644817169,6.257412762675921
31,Meta,11087,126.64228375574997,2090.780560831256,78.4702805087039,2414.875154016563,9.464159225519376,2.919994766031545
16,Depto 16,17164,130.24434863668142,2450.32204170703,112.63359356793288,3706.195809004762,8.274543618426161,3.7478028949480833
48,Depto 48,2095,94.77661097852028,1659.219414488036,60.38233890214797,1105.3890862174687,6.910071102621246,4.9581780538302285
23,Chocó,3901,167.0953601640605,3616.139622056146,48.3514483465778,1509.4459395684212,8.864387464387466,2.6300143507068494
25,Huila,4077,42.71572234486142,971.2334450926629,147.81751287711552,4846.01673934754,4.115715026897136,7.363875205254514
27,La Guajira,5690,75.84376098418278,1710.6177014440038,144.56801405975395,3685.809839788869,4.916353196226636,6.525860823030799
09,Boyacá,2492,81.74317817014446,1616.7176371051355,123.0878812199037,3087.3487571308074,4.403566969859105,6.863278045300516
11,Caldas,3427,170.84301138021593,3961.5089142214115,51.619784067697694,1780.7441852423262,9.002502999059756,2.2224805411100927
68,Guainía,88,107.73863636363636,1944.4941222570535,24.079545454545453,458.41888714733545,7.678787878787877,3.343790849673203
05,Bogotá D.C.,5354,110.54725438924169,2384.0382112160514,73.1150541651102,1789.1296705836526,7.316794320941527,3.3568055815112445
50,Valle,117,82.82051282051282,1637.7175066312998,46.05128205128205,872.6870026525199,5.425641025641025,4.931400966183575
17,Cesar,1252,121.94408945686901,2684.495672471607,26.645367412140576,730.6942790815272,8.42790656363798,1.4867256637168136
01,Antioquia,15801,71.74742104930068,1387.5223390764404,138.33516866021137,4500.787148530097,3.7512894627648734,5.108446920144602
40,Depto 40,662,70.12084592145015,1838.1064029141965,95.95619335347432,2851.960256591907,2.9380328969452845,5.543068143672373
72,Guaviare,197,72.45685279187818,2925.973894126178,59.31979695431472,3190.1063917952965,2.827636773829668,3.1531914893617015
88,CONSULADOS (EXTERIOR),3670,58.07629427792916,3588.0950225135407,106.52561307901907,11787.698308086827,0.5646310196768911,0.8418516480156542
