Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
AMAZONAS,60,001,3,E14_PRE_60_001_099_00_75_003_6949_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,24,E14_PRE_60_001_001_00_01_024_6947_Mesa_24.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,10,E14_PRE_60_001_002_00_01_010_6948_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,9,E14_PRE_60_007_000_00_00_009_3090_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_001_00_01_001_6947_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,6,E14_PRE_60_001_002_00_03_006_6948_Mesa_6.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,010,1,E14_PRE_60_010_000_00_00_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,021,2,E14_PRE_60_021_000_00_00_002_3085_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,4,E14_PRE_60_001_099_00_70_004_6949_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,022,1,E14_PRE_60_022_099_00_01_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,15,E14_PRE_60_001_002_00_02_015_6949_Mesa_15.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,7,E14_PRE_60_001_002_00_03_007_6948_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,2,E14_PRE_60_001_099_00_75_002_6949_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,7,E14_PRE_60_007_000_00_00_007_3090_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,23,E14_PRE_60_001_001_00_01_023_6947_Mesa_23.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,20,E14_PRE_60_001_001_00_01_020_6947_Mesa_20.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,13,E14_PRE_60_001_001_00_01_013_6947_Mesa_13.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,12,E14_PRE_60_001_002_00_01_012_6948_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,022,4,E14_PRE_60_022_000_00_00_004_3085_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,3,E14_PRE_60_007_000_00_00_003_3090_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_098_00_01_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,22,E14_PRE_60_001_001_00_01_022_6947_Mesa_22.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,7,E14_PRE_60_001_002_00_02_007_6949_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,9,E14_PRE_60_001_001_00_01_009_6947_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_002_00_02_001_6949_Mesa_1.pdf,0.01,🟢 ESCANEO REAL
AMAZONAS,60,001,8,E14_PRE_60_001_002_00_01_008_6948_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,1,E14_PRE_60_007_000_00_00_001_3090_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,17,E14_PRE_60_001_001_00_01_017_6947_Mesa_17.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,016,3,E14_PRE_60_016_000_00_00_003_3085_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_099_00_70_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,4,E14_PRE_60_007_000_00_00_004_3090_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,10,E14_PRE_60_001_001_00_01_010_6947_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,8,E14_PRE_60_001_001_00_01_008_6947_Mesa_8.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,013,4,E14_PRE_60_013_000_00_00_004_3085_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_099_00_72_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,26,E14_PRE_60_001_002_00_02_026_6949_Mesa_26.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,016,4,E14_PRE_60_016_000_00_00_004_3085_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_099_00_73_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,022,1,E14_PRE_60_022_000_00_00_001_3085_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_001_00_02_001_6947_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,24,E14_PRE_60_001_002_00_03_024_6948_Mesa_24.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,10,E14_PRE_60_001_002_00_03_010_6948_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,22,E14_PRE_60_001_002_00_03_022_6948_Mesa_22.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,3,E14_PRE_60_001_001_00_03_003_6948_Mesa_3.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,12,E14_PRE_60_007_000_00_00_012_3090_Mesa_12.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,1,E14_PRE_60_001_099_00_77_001_6949_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,5,E14_PRE_60_001_002_00_01_005_6948_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,19,E14_PRE_60_001_001_00_01_019_6947_Mesa_19.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,007,5,E14_PRE_60_007_000_00_00_005_3090_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,5,E14_PRE_60_001_001_00_01_005_6947_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,9,E14_PRE_60_001_002_00_03_009_6948_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
AMAZONAS,60,001,11,E14_PRE_60_001_002_00_03_011_6948_Mesa_11.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,24,E14_PRE_01_001_099_18_10_024_5098_Mesa_24.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,1,E14_PRE_01_001_019_10_02_001_5069_Mesa_1.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,291,5,E14_PRE_01_291_000_00_00_005_2119_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,259,10,E14_PRE_01_259_002_00_01_010_5258_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,109,9,E14_PRE_01_109_000_00_01_009_5166_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,5,E14_PRE_01_001_032_16_03_005_5040_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,121,7,E14_PRE_01_121_001_00_01_007_5171_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,151,29,E14_PRE_01_151_003_02_02_029_5198_Mesa_29.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,166,5,E14_PRE_01_166_002_00_02_005_5212_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,301,10,E14_PRE_01_301_000_00_01_010_5274_Mesa_10.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,035,8,E14_PRE_01_035_001_01_02_008_5109_Mesa_8.pdf,0.01,🟢 ESCANEO REAL
