codigo,mesas,media_cepeda,var_cepeda,media_espriella,var_espriella,benford_dev_cepeda,benford_dev_espriella,flag_robotic,flag_benford
88770,14,10.928571428571429,75.14835164835165,6.285714285714286,39.91208791208791,6.631746031746032,4.837037037037037,False,False
88315,28,11.0,54.44444444444444,14.464285714285714,86.48015873015872,5.441269841269841,4.647619047619047,False,False
88505,11,21.636363636363637,117.65454545454546,25.0,160.2,9.246464646464645,7.05050505050505,False,False
88755,27,36.74074074074074,341.7378917378917,20.074074074074073,170.37891737891738,6.788477366255146,6.127572016460904,False,False
56004,14,77.71428571428571,263.1428571428571,50.57142857142857,261.95604395604397,12.35873015873016,11.323809523809523,False,False
01277,14,46.142857142857146,185.67032967032966,95.07142857142857,420.3791208791209,12.060317460317458,10.599999999999998,False,False
07298,14,73.07142857142857,137.45604395604397,159.07142857142858,494.22527472527474,15.533333333333335,15.533333333333335,False,True
01097,13,28.615384615384617,89.42307692307692,195.84615384615384,586.8076923076923,9.958974358974357,11.622222222222222,False,False
07169,14,77.35714285714286,100.55494505494507,173.07142857142858,619.6098901098901,15.701587301587303,12.358730158730157,False,True
07109,11,44.09090909090909,170.29090909090908,204.27272727272728,567.8181818181819,12.159595959595958,12.250505050505051,False,False
44024,18,81.38888888888889,119.07516339869281,89.16666666666667,704.9705882352941,16.308641975308642,8.125925925925925,False,True
01270,75,79.17333333333333,525.983063063063,40.38666666666666,310.834954954955,9.903703703703705,7.666666666666667,False,False
01062,23,33.08695652173913,203.44664031620553,69.04347826086956,634.1343873517786,8.490821256038647,6.83768115942029,False,False
03061,26,157.26923076923077,640.0446153846154,69.1923076923077,212.16153846153847,12.96923076923077,13.991452991452993,False,False
07025,13,68.46153846153847,224.93589743589743,169.15384615384616,629.974358974359,14.270085470085471,12.114529914529914,False,False
15091,13,82.76923076923077,211.1923076923077,157.84615384615384,650.1410256410257,13.870085470085469,15.533333333333335,False,True
07313,23,87.56521739130434,205.62055335968378,155.08695652173913,675.6284584980237,13.424154589371978,14.567149758454105,False,False
03028,68,148.89705882352942,560.6011852502195,69.27941176470588,321.3983757682177,14.226143790849672,11.743790849673202,False,False
27103,13,76.46153846153847,112.76923076923077,151.07692307692307,781.4102564102564,17.022222222222226,15.533333333333335,False,True
48009,48,134.08333333333334,711.1843971631205,48.8125,183.85771276595744,13.21851851851852,11.82962962962963,False,False
23101,15,235.66666666666666,848.2380952380953,23.866666666666667,63.98095238095238,15.348148148148148,8.844444444444441,False,True
15265,16,64.3125,238.3625,192.0625,692.7291666666666,12.855555555555558,11.622222222222222,False,False
15004,28,104.42857142857143,141.2910052910053,121.14285714285714,831.6084656084656,13.377777777777778,12.08888888888889,False,False
01202,21,36.19047619047619,131.86190476190478,159.52380952380952,855.4619047619047,10.564021164021163,14.475132275132275,False,False
23058,16,171.6875,657.5625,73.1875,347.8958333333333,11.622222222222222,14.244444444444447,False,False
12170,51,86.70588235294117,473.05176470588236,110.27450980392157,542.843137254902,9.010021786492375,12.070588235294117,False,False
07046,11,34.27272727272727,95.41818181818181,222.8181818181818,928.7636363636364,11.757575757575756,14.27070707070707,False,False
01117,124,86.36290322580645,424.8184500393391,63.28225806451613,613.8302517702597,10.658064516129032,9.255913978494625,False,False
01301,66,79.93939393939394,436.1808857808858,54.75757575757576,620.2172494172495,11.564983164983165,6.682828282828283,False,False
