dane_code,orig_has_text,alt_has_text,orig_xref_corrupt,alt_xref_corrupt,orig_image_bytes,alt_image_bytes,qr_match,qr_payload_count
01_208_99_01_006.pdf,False,False,True,True,57043,48813,True,2
01_208_99_01_008.pdf,False,False,True,True,58899,51020,True,2
01_208_99_01_007.pdf,False,False,True,True,55659,52002,True,2
01_208_99_01_010.pdf,False,False,True,True,58680,49415,True,2
01_208_99_01_009.pdf,False,False,True,True,59498,51147,True,2
01_208_99_02_001.pdf,False,False,True,True,56352,47952,True,2
01_208_99_01_011.pdf,False,False,True,True,56051,47868,True,2
01_208_99_03_001.pdf,False,False,True,True,57711,48496,True,2
01_208_99_03_002.pdf,False,False,True,True,57424,49451,True,2
01_208_99_04_001.pdf,False,False,True,True,48897,49234,True,2
01_208_99_05_001.pdf,False,False,True,True,51128,50687,True,2
01_208_99_03_003.pdf,False,False,True,True,56896,45629,True,2
01_208_99_05_002.pdf,False,False,True,True,52485,55605,True,2
01_208_99_05_005.pdf,False,False,True,True,55493,57910,True,2
01_208_99_05_004.pdf,False,False,True,True,49156,50986,True,2
01_208_99_05_003.pdf,False,False,True,True,50468,52603,True,2
01_208_99_06_001.pdf,False,False,True,True,58188,56158,True,2
01_214_03_01_025.pdf,False,False,True,True,66064,48608,False,1
01_214_99_B2_001.pdf,False,False,True,True,560440,53208,False,0
01_214_99_B2_003.pdf,False,False,True,True,576605,51222,False,0
01_214_99_B2_002.pdf,False,False,True,True,488247,53458,False,0
01_214_99_B2_004.pdf,False,False,True,True,579923,51480,False,0
01_214_99_B2_007.pdf,False,False,True,True,552333,53156,False,0
01_214_99_B2_008.pdf,False,False,True,True,554722,53155,False,0
01_214_99_B2_009.pdf,False,False,True,True,557923,55553,False,0
01_214_99_B2_005.pdf,False,False,True,True,911929,52544,False,1
01_214_99_B2_010.pdf,False,False,True,True,571450,51378,False,0
01_217_99_01_002.pdf,False,False,True,True,48251,48251,True,2
01_217_99_01_001.pdf,False,False,True,True,499124,46902,False,1
01_214_99_B2_006.pdf,False,False,True,True,943915,53612,False,1
01_218_01_02_023.pdf,False,False,True,True,71168,51884,False,1
01_223_99_08_001.pdf,False,False,True,True,46100,46100,True,2
01_218_03_03_015.pdf,False,False,True,True,69390,50542,False,1
01_214_99_B2_011.pdf,False,False,True,True,900847,51142,False,1
01_229_99_18_001.pdf,False,False,True,True,51707,51707,True,2
01_229_99_13_001.pdf,False,False,True,True,485252,51327,False,0
01_229_99_36_001.pdf,False,False,True,True,52857,53362,True,2
01_231_00_00_026.pdf,False,False,True,True,69140,48922,False,1
01_229_99_06_001.pdf,False,False,True,True,801170,51715,False,1
01_229_99_06_002.pdf,False,False,True,True,804753,54882,False,0
01_237_02_01_016.pdf,False,False,True,True,54383,37441,True,2
01_237_02_02_011.pdf,False,False,True,True,53868,32323,True,2
01_232_99_15_001.pdf,False,False,True,True,489037,55209,False,0
01_232_99_15_003.pdf,False,False,True,True,482053,54689,False,0
01_237_99_04_003.pdf,False,False,True,True,60471,34033,True,2
01_237_99_05_001.pdf,False,False,True,True,57505,32143,True,2
01_237_99_25_001.pdf,False,False,True,True,54818,34562,True,2
01_237_99_10_004.pdf,False,False,True,True,56974,34746,True,2
01_231_99_86_003.pdf,False,False,True,True,653116,49278,False,1
01_237_99_25_007.pdf,False,False,True,True,63658,34101,True,2
01_237_99_25_008.pdf,False,False,True,True,61902,33866,True,2
01_237_99_32_001.pdf,False,False,True,True,63521,34904,True,2
01_237_99_32_003.pdf,False,False,True,True,60772,33350,True,2
01_238_99_23_001.pdf,False,False,True,True,312256,48661,False,0
01_253_99_01_002.pdf,False,False,True,True,420595,47394,False,0
01_253_99_09_001.pdf,False,False,True,True,284478,48372,False,0
01_253_99_09_002.pdf,False,False,True,True,359036,47134,False,0
01_253_99_14_001.pdf,False,False,True,True,46215,46215,True,2
01_253_99_14_002.pdf,False,False,True,True,48274,48274,True,2
01_250_99_20_001.pdf,False,False,True,True,783394,52292,False,1
01_262_99_40_002.pdf,False,False,True,True,72315,62672,False,1
01_265_99_09_002.pdf,False,False,True,True,387638,50188,False,0
01_265_99_05_001.pdf,False,False,True,True,418145,48281,False,0
01_253_99_09_003.pdf,False,False,True,True,995640,47041,False,1
01_265_99_09_001.pdf,False,False,True,True,418510,51096,False,0
01_265_99_13_001.pdf,False,False,True,True,538321,51296,False,0
01_265_99_01_002.pdf,False,False,True,True,604331,51204,False,0
01_265_99_05_002.pdf,False,False,True,True,991020,50851,False,1
01_280_01_01_001.pdf,False,False,True,True,49730,50980,True,2
01_280_01_01_003.pdf,False,False,True,True,49414,51225,True,2
01_265_99_17_001.pdf,False,False,True,True,433396,53037,False,0
01_280_01_01_002.pdf,False,False,True,True,50211,51083,True,2
