archivo_pdf,resultado_xref,departamento,municipio,zona,puesto,mesa
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE FRANCISCO DEL ROSARIO VELA/E14_PRE_60_001_001_00_03_003_6948_Mesa_3.pdf","CORRUPTO_XREF","60","001","00","03","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_008_6947_Mesa_8.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_8"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA VICTORIA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_017_000_00_00_001_3085_Mesa_1.pdf","CORRUPTO_XREF","60","017","00","00","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LA CHORRERA/ZONA 00/CORREGIMIENTO DEPARTAMENTAL/E14_PRE_60_013_000_00_00_004_3085_Mesa_4.pdf","CORRUPTO_XREF","60","013","00","00","Mesa_4"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_017_6947_Mesa_17.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_17"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_007_6947_Mesa_7.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_7"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_003_6947_Mesa_3.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_001_6947_Mesa_1.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_002_6947_Mesa_2.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_2"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_009_6947_Mesa_9.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_9"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_007_6947_Mesa_7.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_7"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_022_6947_Mesa_22.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_22"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_023_6947_Mesa_23.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_23"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_019_6947_Mesa_19.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_19"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_020_6947_Mesa_20.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_20"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_003_6947_Mesa_3.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_3"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_025_6947_Mesa_25.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_25"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_001_6947_Mesa_1.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_1"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_026_6947_Mesa_26.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_26"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_004_6947_Mesa_4.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_4"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_021_6947_Mesa_21.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_21"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/IE INEM JOSE EUSTACIO RIVERA/E14_PRE_60_001_001_00_01_024_6947_Mesa_24.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_24"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_004_6948_Mesa_4.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_4"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_005_6947_Mesa_5.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_5"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 01/JORGE ELIECER GAITAN/E14_PRE_60_001_001_00_02_008_6947_Mesa_8.pdf","CORRUPTO_XREF","60","001","00","02","Mesa_8"
"/media/andrea-zabala-c/D A T A1/segundaVuelta/claveros_pdf/AMAZONAS/LETICIA/ZONA 02/IE MARCELIANO E. CANYES/E14_PRE_60_001_002_00_01_002_6948_Mesa_2.pdf","CORRUPTO_XREF","60","001","00","01","Mesa_2"
