Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
46,865,99,40,000001,5,105,110,Polarización Extrema (>95%)
46,001,03,02,000013,119,119,244,Empate Exacto (Estadísticamente Inviable)
46,001,04,02,000010,110,110,227,Empate Exacto (Estadísticamente Inviable)
46,680,99,60,000001,241,5,251,Polarización Extrema (>95%)
46,680,99,60,000002,124,3,129,Polarización Extrema (>95%)
46,560,99,85,000001,5,128,134,Polarización Extrema (>95%)
46,001,99,17,000001,8,178,186,Polarización Extrema (>95%)
46,680,99,55,000001,6,239,250,Polarización Extrema (>95%)
